year,Rank,Artist,Title,Spotify_Popularity,Artist_Popularity
1963,91,Steve Lawrence,Go Away Little Girl,4,36
1963,92,Ray Charles,Take These Chains From My Heart,-1,69
1963,93,Sunny and The Sunglows,Talk To Me,-1,18
1963,94,Martha and The Vandellas,Come And Get These Memories,29,61
1963,95,Elvis Presley,Bossa Nova Baby,38,81
1963,96,Dee Dee Sharp,Do The Bird,17,35
1963,97,Beach Boys,Shut Down,25,75
1963,98,Chiffons,One Fine Day,-1,49
1963,99,Bobby Bare,500 Miles Away From Home,37,50
1963,100,Del Shannon,Little Town Flirt,27,51
1964,1,Beatles,I Want To Hold Your Hand,-1,88
1964,2,Beatles,She Loves You,-1,88
1964,3,Louis Armstrong,"Hello, Dolly!",48,73
1964,4,Roy Orbison,"Oh, Pretty Woman",69,68
1964,5,Beach Boys,I Get Around,64,75
1964,6,Dean Martin,Everybody Loves Somebody,60,78
1964,7,Mary Wells,My Guy,64,57
1964,8,Gale Garnett,We’ll Sing In The Sunshine,-1,22
1964,9,J. Frank Wilson and The Cavaliers,Last Kiss,-1,27
1964,10,Supremes,Where Did Our Love Go,62,68
1964,11,Barbara Streissand,People,-1,-1
1964,12,Al Hirt,Java,20,39
1964,13,Beatles,A Hard Day’s Night,-1,88
1964,14,Beatles,Love Me Do,67,88
1964,15,Manfred Mann,Do Wah Diddy Diddy,63,56
1964,16,Beatles,Please Please Me,59,88
1964,17,Martha and The Vandellas,Dancing In The Street,-1,61
1964,18,Billy J. Kramer and The Dakotas,Little Children,-1,6
1964,19,Ray Charles Singers,Love Me With All Your Heart,20,43
1964,20,Drifters,Under The Boardwalk,66,64
1964,21,Dixie Cups,Chapel Of Love,48,48
1964,22,Terry Stafford,Suspicion,-1,28
1964,23,Dave Clark Five,Glad All Over,-1,29
1964,24,Four Seasons,Rag Doll,-1,65
1964,25,Four Seasons,Dawn (Go Away),-1,65
1964,26,Newbeats,Bread And Butter,-1,28
1964,27,Gene Pitney,It Hurts To Be In Love,-1,47
1964,28,Jan and Dean,Dead Man’s Curve,-1,43
1964,29,Jay and The Americans,Come A Little Bit Closer,68,55
1964,30,Peter and Gordon,A World Without Love,-1,40
1964,31,Honeycombs,Have I The Right?,-1,31
1964,32,Serendipity Singers,Don’t Let The Rain Come Down (Crooked Little Man),-1,11
1964,33,Supremes,Baby Love,67,68
1964,34,Betty Everett and Jerry Butler,Let It Be Me,-1,-1
1964,35,Dusty Springfield,Wishin’ And Hopin’,40,64
1964,36,Lesley Gore,You Don’t Own Me,-1,53
1964,37,Dionne Warwick,Walk On By,60,63
1964,38,Animals,The House Of The Rising Sun,-1,74
